State;State Code;Year;Name;Link;Layers;;;;;Notes;Formate;;;;;;;;
;;;;;RGB;CIR;IR;PAN ;META;;PNG;PNG32;PNG24;PNG8;TIFF;GIF;SVG;WebP;JPEG
Mecklenburg-Vorpommern;MV;1991;WMS_MV_DOP_1991;https://www.geodaten-mv.de/dienste/dop1991_wms;;x;;;x;40cm GSD;x;;x;x;x;;;;x
;;2002 - 2024;WMS Historische Orthophotos MV (WMS_MV_DOP_Historisch);http://www.geodaten-mv.de/dienste/doparchiv_wms;x;;;;;;x;;;;;x;;;x
;;1953;WMS_MV_DOP_1953;http://www.geodaten-mv.de/dienste/dop1953_wms;;;;x;x;80cm GSD;x;;x;x;x;;;;x
Niedersachsen;NI;2005 - 2021;WMS_NI_DOP20_Historisch;https://opendata.lgln.niedersachsen.de/doorman/noauth/doph_wms;x;;;;x;;x;;;x;x;;x;;x
Nordrhein-Westfalen;NW;1951 - 2023;WMS NW HIST DOP;https://www.wms.nrw.de/geobasis/wms_nw_hist_dop;x;;;x;x;;x;;;x;x;;;;x
Rheinland-Pfalz;RP;1994 - 2024;Luftbild RP historisch (Layer pro Jahr);https://www.geoportal.rlp.de/mapbender/php/wms.php?inspire=1&layer_id=74145&withChilds=1;x;;;x;x;;x;;;;x;;;x;x
Saarland;SL;2022;WMS SL DOP20 (2022);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=46337&VERSION=1.1.1&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2021;WMS SL DOP20 (2021);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=44413&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2020;WMS SL DOP20 (2020);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=43491&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2019;WMS SL DOP20 (2019);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=42876&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2018;WMS SL DOP20 (2018);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=43866&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2017;WMS SL DOP20 (2017);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=43866&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2016;WMS SL DOP20 (2016);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=42768&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2015;WMS SL DOP20 (2015);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=42653&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2014;WMS SL DOP20 (2014);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=41419&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2013;WMS SL DOP20 (2013);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=40284&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2012;WMS SL DOP20 (2012);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=39050&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2011;WMS SL DOP20 (2011);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=38322&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2010;WMS SL DOP20 (2010);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=35002&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2009;WMS SL DOP20 (2009);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=36415&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2008;WMS SL DOP20 (2008);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=31304&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;;x;;;x;x;;x;;x
;;2006;WMS SL DOP20 (2006);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=31111&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;40cm GSD;x;;;x;x;;x;;x
;;2003;WMS SL DOP20 (2003);https://geoportal.saarland.de/mapbender/php/wms.php?layer_id=36412&REQUEST=GetCapabilities&VERSION=1.1.1&SERVICE=WMS&withChilds=1;x;x;x;;x;40cm GSD;x;;;x;x;;x;;x
Sachsen;SN;2021 - 2022;Historische DOP 2021-2022;https://geodienste.sachsen.de/wms_geosn_dop_2021_2022/guest?Request=GetCapabilities&Service=WMS;x;x;;x;x;;x;x;x;x;x;x;x;;x
;;2018 - 2020;Historische DOP 2018-2020;https://geodienste.sachsen.de/wms_geosn_dop_2018_2020/guest?Request=GetCapabilities&Service=WMS;x;x;;x;x;;x;x;x;x;x;x;x;;x
;;2015 - 2017;Historische DOP 2015-2017;https://geodienste.sachsen.de/wms_geosn_dop_2015_2017/guest?Request=GetCapabilities&Service=WMS;x;x;;x;x;;x;x;x;x;x;x;x;;x
;;2012 - 2014;Historische DOP 2012-2014;https://geodienste.sachsen.de/wms_geosn_dop_2012_2014/guest?Request=GetCapabilities&Service=WMS;x;x;;x;x;;x;x;x;x;x;x;x;;x
;;2009 - 2011;Historische DOP 2009-2011;https://geodienste.sachsen.de/wms_geosn_dop_2009_2011/guest?Request=GetCapabilities&Service=WMS;x;;;;x;;x;x;x;x;x;x;x;;x
;;2006 - 2008;Historische DOP 2006-2008;https://geodienste.sachsen.de/wms_geosn_dop_2006_2008/guest?Request=GetCapabilities&Service=WMS;x;;;;x;;x;x;x;x;x;x;x;;x
;;1995 - 2004;Historische DOP 1995-2004;;;;;x;x;One layer 2000-2004 and one 1995 - 2000;x;x;x;x;x;x;x;;x
Sachsen-Anhalt;ST;2014 - 2019;;https://geodatenportal.sachsen-anhalt.de/gfds/de/gdp-dop20-auswahl-historie.html;;;;;;Download service only;;;;;;;;;
Schleswig-Holstein;SH;;;;;;;;;Not available;;;;;;;;;
Thüringen;TH;1945 - 2023;;https://geoportal.thueringen.de/gdi-th/download-offene-geodaten/download-luftbilder-und-orthophotos;;;;;;No WMS. Single download only.;;;;;;;;;
Outside Germany;;;;;;;;;;;;;;;;;;;
Schweiz;;1946;SWISSIMAGE HIST 1946;https://wms.geo.admin.ch/?VERSION=1.3.0;;;;;;;;;;;;;;;
Hannover;;1957 - heute;;https://e-government.hannover-stadt.de/geonetwork/srv/ger/catalog.search#/search?resultType=details&sortBy=relevance&from=1&to=20;;;;;;No WMS. Download only;;;;;;;;;
Ratingen und Umgebung;;1927 - 1969;;https://gdi.regioit.de/portal/home/item.html?id=b57153f7030b4b8a9d9bac31351c1566;;;;;;Only Viewer;;;;;;;;;
Brandenburg-Viewer;;1953 - heute;;https://www.arcgis.com/apps/webappviewer/index.html?id=5e7438aa1ab047b4971feaae6603c0b4;;;;;;Only Viewer;;;;;;;;;
Rhein-Ruhr Viewer;;1926 - heute;;https://luftbilder.geoportal.ruhr/;;;;;;Only Viewer;;;;;;;;;
Duisburg WMS;;1926 - heute;;https://opendata-duisburg.de/dataset/historische-luftbilder;;;;;;WMS services for every year;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
